,0,0
gyp,2,0
pazu,0,9
durian,1,0
bendingli,1,0
congenit,1,0
arsonist,1,0
katzir,0,4
tel,0,1
aviv,0,1
prospero,0,1
interlop,0,1
coonskin,0,4
preacherman,0,3
pappi,1,3
herriman,0,1
grover,0,1
insol,1,2
ood,0,2
crapo,1,0
nelkin,1,0
poston,2,0
cajon,1,0
publicis,1,0
hooligan,6,1
grang,1,1
eastend,1,0
nanosecond,1,0
icf,2,0
scalli,1,0
oldman,1,0
matey,1,0
mueller,2,0
roundtre,3,0
adel,1,3
frumpi,0,2
seami,0,1
macliammoir,0,1
elocut,0,2
brimston,0,1
snippi,0,1
pamelyn,0,1
ferdin,0,1
emce,1,1
doublebil,0,1
jeez,3,0
bade,0,1
miyan,0,2
chote,0,1
dhavan,0,2
aur,0,5
aankhen,0,1
saajan,0,1
chale,0,1
sasur,0,1
haseena,0,1
manjayegi,0,1
ek,0,3
gyarah,0,1
eaglebau,0,1
rebuf,0,2
zucker,0,2
kizz,0,1
ayer,5,0
julliard,1,0
schizophrenia,2,1
skid,2,0
rehab,2,3
kwouk,1,0
mccloud,2,0
mcgarrett,2,0
gabe,0,1
rooker,0,1
qualen,0,2
nakatomi,0,1
plaza,0,1
coolest,2,7
replica,3,2
unfurnish,2,0
budgetari,1,2
sulley,1,0
melod,0,1
sabato,0,1
bedknob,0,3
broomstick,0,1
georgian,0,2
coastlin,0,2
dunkirk,0,1
rawlin,0,2
blitz,0,2
portobello,0,1
auxiliari,0,1
mame,0,3
dorian,1,1
atchison,0,1
topeka,0,1
fe,0,1
burnsid,0,1
callaghan,0,1
snart,0,1
weighil,0,2
roddi,1,2
mcdowal,0,1
vicar,0,1
ericson,0,1
scrimmag,0,1
frosti,7,0
cozi,3,2
categoris,2,0
roux,1,0
indestruct,0,1
messili,0,1
napier,0,1
lunkhead,0,2
baboon,1,0
duskfal,1,0
entertainingli,1,1
distaff,0,1
chopsocki,0,1
whup,0,1
scuzzi,0,1
winningli,0,1
spunki,0,2
marbl,2,2
incarcer,0,2
beatdown,0,1
galvan,0,2
punchi,0,3
swill,2,1
ney,0,3
foolhardi,0,1
outliv,0,2
knowl,0,1
omelett,0,1
satisfactorili,1,1
amiss,0,1
marksmanship,0,1
cumul,1,2
sierra,0,3
madr,1,2
hoov,0,2
stamped,0,1
carcass,0,2
hunch,1,2
hefti,1,2
milton,0,2
lott,0,1
seafar,0,1
valiant,1,3
demarco,0,1
claustrophobia,0,4
bridger,0,1
gruen,0,1
bode,0,2
badger,0,1
belliger,0,2
manslaught,1,1
adcox,1,0
villard,1,0
possesor,1,0
marque,1,0
possessor,1,0
largley,0,1
latimor,0,1
zelina,0,1
branscomb,0,1
sturm,0,1
juliana,0,3
dever,0,1
unworldli,0,2
holler,0,1
hastili,2,1
juici,0,4
quoit,0,1
unfortunt,1,0
condens,1,1
cliver,3,0
ursula,2,0
buchfelln,2,0
bloodshot,1,0
bulg,3,0
pong,2,0
eurocult,1,0
gisela,1,0
hahn,1,0
pochath,1,0
tempra,1,0
cabo,1,0
severin,1,0
siani,1,0
cleopatra,2,0
phaoroh,1,0
juliu,1,0
varela,1,0
psychoanalyst,1,1
oti,0,3
drugstor,0,2
sled,1,1
fakey,0,1
weber,0,2
clarkson,0,1
suzi,2,2
jayn,6,1
zita,1,0
buse,2,1
stepto,2,0
farther,0,2
fudg,1,0
carnival,0,1
overwritten,1,1
jello,2,0
groaner,1,0
outlay,1,0
indefens,1,0
petrifi,1,1
boar,1,0
snorefest,1,0
leeri,1,0
blick,0,1
hovi,0,1
admitt,0,1
rootbeer,0,2
catscratch,0,1
berlingsk,0,1
tidend,0,1
interconnect,1,1
sartoriu,1,0
proposit,4,2
geyser,1,0
hypo,2,0
fufil,1,0
farrelli,1,2
elson,2,0
meathook,1,0
dumbsh,1,0
diarrhea,1,1
mitt,1,1
flabbi,2,0
tristan,0,3
flemyng,0,1
ruppert,0,1
gervai,0,1
gaiman,0,1
fertil,1,2
alar,4,0
marnac,4,0
mabil,3,0
lancr,2,0
lycanthropi,2,0
betsab,1,0
ruiz,1,0
suriani,1,0
anc,2,0
amulet,2,0
demoniac,1,0
sturgess,0,1
rispoli,0,1
rounder,0,1
roeper,1,0
manckiewitz,1,0
nuddi,1,0
savini,5,0
browni,1,0
laud,1,4
carpathia,1,0
eschatolog,1,0
unsound,1,0
espous,2,0
mckeever,1,0
ladd,3,1
mln,0,1
prizzi,2,0
prefigur,1,0
crimedi,1,0
anjelica,1,0
sabotag,5,1
toom,1,0
mulder,1,1
sculli,1,1
bradycardia,1,0
butlin,1,0
socket,3,0
dumpi,1,1
limbo,1,1
speir,0,1
tapestri,0,2
unnervingli,0,1
burnout,1,1
bolder,0,1
camu,0,1
antagon,0,1
ember,0,1
heaton,0,9
immateri,1,2
heartach,0,2
arcadia,0,1
pasdar,0,2
dysphoria,0,1
transvest,1,1
renfield,0,1
orchid,1,2
eeeevil,0,1
correl,2,0
aileen,1,0
blitzer,1,0
hmmmmmmm,1,0
roundtabl,0,1
jimenez,0,1
dogvil,2,0
unfocus,3,1
pessim,2,0
dreg,2,1
gummo,3,0
pippi,1,0
longstock,1,0
tami,1,0
lindgren,1,0
untradit,1,1
sombr,1,1
torrenti,1,0
mesmeris,0,4
reitman,1,1
awkrawrd,0,1
farri,0,1
surefir,2,0
seagl,1,0
sidewind,1,0
bartok,0,1
melman,0,1
madagascar,0,1
whisker,0,1
derm,0,1
ambienc,0,1
ullman,0,7
gallo,2,1
crimefilm,0,1
althou,1,0
prettymuch,1,0
werewolfworld,1,0
bloodlin,1,0
aplu,1,0
soni,6,2
handycam,1,0
horrortitl,1,0
slunk,1,0
tish,1,0
scuttl,3,1
dingl,2,0
worrisom,1,0
walru,1,0
worlder,1,0
koya,1,0
itinerari,1,0
overcrank,1,0
naqoyqatsi,1,0
rstj,1,0
painkil,1,1
freakish,2,2
habitat,1,3
deathwatch,0,1
schmidt,0,2
lecki,0,1
foxhol,0,1
stereophon,0,1
squib,0,1
emplac,0,1
ridgeley,0,1
eleanor,5,4
maltz,0,1
prune,0,2
vernacular,0,4
gab,0,1
oversimpli,0,1
whammi,1,1
vocalist,0,1
syd,0,1
mott,0,2
hoopl,0,1
rutl,0,1
blodwyn,0,1
steeley,0,1
rhonda,0,1
desire,0,1
mathi,0,1
ferland,0,1
contort,1,0
leech,2,1
brigley,1,0
iota,1,0
bonjour,2,0
tristess,2,0
gleefulli,1,2
publicist,2,1
grievous,1,0
audibl,1,1
sagan,3,0
breathlessli,1,0
riviera,1,0
smoki,2,0
dietrichesqu,1,0
existentialist,1,2
roundabout,1,0
sinecur,1,0
emascul,1,0
sartr,1,0
foucault,1,0
theorist,7,1
teenybopp,1,0
swingin,1,0
copain,1,0
undeservedli,1,0
snot,3,0
hive,1,0
unendur,1,0
valium,2,0
myl,1,0
demongeot,1,0
uncinemat,1,0
kwai,1,0
hawkin,4,1
ungift,1,0
sud,1,0
brigid,0,1
shaughnessi,0,1
sorcha,1,0
egyptian,3,5
goa,0,5
uld,0,5
apophi,0,2
millennia,0,1
mayan,0,1
nors,0,1
camelot,0,1
giza,0,1
sgc,0,1
cheyenn,0,1
col,0,1
shank,0,1
galact,1,2
baal,0,1
anubi,0,1
ori,0,4
arthurian,1,1
karishma,0,1
maestro,0,1
aroona,0,1
nandu,0,1
reptilian,1,1
jamaican,1,2
beani,0,1
stepper,0,5
flirti,0,1
meagan,0,1
prissi,1,2
keyshia,0,1
rocsi,0,1
deray,0,1
onlook,1,0
southeast,1,1
archaeolog,4,0
unzombiefi,1,0
precautionari,1,0
wargam,5,0
drssing,1,0
desig,1,0
redrum,0,3
hiatu,1,0
uninvolv,1,0
consiglieri,0,1
mafiosi,0,1
imbr,0,1
anorect,1,0
quall,1,0
nyquist,0,1
gabriella,0,1
schlocki,0,1
eartha,0,1
kitt,0,1
whittak,0,1
privleg,0,1
rosalba,0,2
neri,0,2
yuma,0,4
tuco,0,1
ooooooh,1,0
muffin,1,0
popeil,1,0
moffat,0,2
richmond,1,1
interlac,1,0
castmat,1,0
underhand,1,0
transgress,1,0
shortchang,2,0
revuls,4,0
synops,2,0
ouch,1,0
dorkish,1,0
praisenonetheless,1,0
cornier,1,0
butant,1,0
cusak,2,0
dolphin,1,0
theat,1,0
ballot,1,0
newton,0,1
jitteri,0,1
hygienist,0,1
gase,0,1
kongwon,0,1
ui,0,1
fallibl,0,1
erit,0,1
overcast,1,0
downcast,1,0
shabbi,4,3
greasi,2,1
yuk,1,3
sequiteur,1,0
epat,1,0
teff,1,0
nutjob,1,0
gladi,3,1
courtship,1,2
timberlan,1,0
giacomo,1,0
murdock,1,0
maldera,1,0
gulp,2,0
dourif,2,0
partook,1,0
lew,3,0
orland,1,0
shc,2,0
orific,1,0
roughneck,0,2
rainstorm,0,2
boly,0,1
reshoski,0,1
tautou,0,2
timelin,2,0
pennelop,1,0
rolando,2,0
quel,3,0
taglialucci,1,0
omigosh,0,1
kade,0,2
strickland,0,3
mapoth,0,1
clea,0,1
raunch,1,0
crawley,0,2
hallier,0,2
bertram,0,2
jhene,0,2
erwin,0,2
lastewka,0,2
mow,1,0
estrada,1,1
bonk,1,0
peen,1,0
sevala,1,0
beret,2,0
geronimo,1,0
gassi,1,0
palermo,18,0
malta,6,0
lowpoint,1,0
greydon,1,0
hader,1,0
sailfish,1,0
rangeela,1,0
rgv,7,0
devgan,6,0
heero,2,3
beeru,1,0
bubban,1,0
bachan,1,0
fastmov,1,0
cosi,0,1
pieish,1,0
focuss,1,0
janosch,1,0
ladylik,0,1
borzag,0,2
patsi,0,2
hoovervil,0,1
blusteri,0,1
rambeau,0,1
swerl,0,1
dewi,0,2
contentedli,0,1
schaffner,1,0
cairo,2,0
abdu,1,0
hamdi,3,0
pharoah,1,0
seti,2,0
tutankhamun,1,0
tantalis,1,0
hinder,4,1
trustworthi,2,1
yvon,1,0
ronet,1,0
akm,1,0
khazzan,1,0
langella,1,0
polaroid,1,0
splite,0,1
pressburg,0,4
cardiff,0,1
timethi,0,1
mcinn,3,0
beginn,1,0
glitzi,2,1
soporif,2,0
technobabbl,2,0
reimagin,1,0
fanbas,1,0
pap,1,2
capra,0,4
sturg,0,2
philadelpia,0,1
incens,0,1
laker,0,1
alias,0,1
poignanc,0,5
destri,0,1
subtlti,0,1
carax,0,7
merd,0,1
vigo,0,3
cocteau,1,2
godard,8,5
truffaut,5,3
lavant,0,1
boardwalk,0,1
anecdot,0,2
overt,0,2
lovelorn,0,2
pensiv,3,1
torrent,0,9
magnif,1,1
indebt,0,1
bowi,0,4
softli,0,1
carousel,0,3
jenuet,0,1
gondri,0,1
nimh,0,1
unwarr,2,0
dailey,1,0
cillian,1,4
mcadam,1,8
lux,0,1
reisert,1,3
rippner,1,7
crazili,0,1
languagemi,0,2
succubu,0,3
vampyro,0,2
lesbo,0,6
namedrop,0,1
boyc,1,0
mailman,1,0
dragnet,0,2
unadorn,0,1
cityscap,0,2
tobin,0,2
corrigan,0,2
footwork,0,2
painstak,0,2
bosh,0,1
gangli,0,1
kinsella,0,1
android,3,0
reav,1,0
navada,1,0
implor,2,0
mencia,1,1
doesen,1,0
valenteen,1,0
korti,0,2
couteri,0,2
tivo,1,0
elfman,1,0
fleischer,2,1
alphabet,1,0
ere,0,1
badmitton,0,1
slingblad,2,0
hickish,1,0
dissappear,1,0
ametu,1,0
borat,1,0
kipp,0,1
drablow,0,1
sheeba,2,0
alahani,2,0
alohalani,1,0
priestli,2,0
coulson,1,0
carload,1,0
cashier,2,0
ziggi,1,1
mchatti,2,0
highwayman,1,0
keoni,1,0
blethyn,1,1
cleric,1,0
pity,0,1
kira,2,0
yon,1,0
claren,0,1
expression,0,2
catapult,0,2
clure,0,1
impedi,0,1
cahiil,0,1
unmatch,0,2
stakingli,0,1
inthus,0,1
southsid,0,1
ctm,0,1
crevic,1,1
tmc,1,0
curley,2,0
dogi,1,0
wyat,1,0
corral,4,0
weaken,4,1
patronag,1,0
franni,2,0
heirloom,1,0
ruben,1,0
sacrifici,1,1
jeeper,0,1
creeper,2,2
mcallist,0,2
scanti,0,1
stonewash,0,1
bacteri,0,1
hyperact,1,2
inhumanli,0,1
lenzi,0,1
theatrex,0,1
suffolk,0,2
eyow,0,1
guyland,0,1
gourd,0,2
cheesier,1,0
firefli,4,0
arsehol,1,0
chestburst,2,0
muco,1,0
merman,1,0
grandkid,1,0
yugonostalg,0,1
yugoslavian,0,1
ademir,0,1
kenov,0,1
kustarica,0,1
rumin,0,1
pavl,0,1
vujis,0,1
muzam,0,1
conformist,0,1
picker,1,1
figment,1,0
husk,1,0
xtian,4,0
charlesmanson,1,0
xtianiti,1,0
snobbi,3,0
olivia,2,0
havilland,1,0
simplemind,1,0
disinherit,1,0
disobedi,1,0
suitor,1,2
faucet,1,0
amercian,1,0
brawn,1,0
whoos,1,0
doen,1,0
acuiti,1,0
booh,1,0
contagonist,1,0
poteni,1,0
caspar,1,0
som,1,0
booti,1,0
booooy,1,0
telekinet,2,0
xxxxviii,1,0
pubic,1,0
tee,2,2
hee,3,0
robocop,1,1
retart,0,1
excalibur,0,1
hacker,5,0
thermonuclear,1,0
bioweapon,1,0
sarin,2,0
anthrax,1,0
bioterror,1,0
falken,1,0
joshua,3,0
wopr,1,0
compost,1,0
indigest,2,1
impost,1,0
sica,1,5
pietro,0,1
germi,0,1
monicelli,0,1
miracolo,0,1
milano,0,1
giudizio,0,1
universal,0,1
garunte,0,1
evangelion,0,2
rahxephon,0,1
coorain,0,1
bodylin,0,1
playground,0,2
foyer,0,1
hictcock,1,0
klimovski,1,0
cursori,1,0
sadomania,1,0
antiguo,1,0
marisc,1,0
nacion,1,0
pantomim,1,1
freeview,0,1
pube,0,1
pritchard,0,1
dainton,0,1
ott,3,1
videowork,1,0
thatlast,0,1
theyar,0,1
ashort,0,1
oftoday,0,1
thatoverwhelm,0,1
togo,0,1
douglass,0,2
dumbvril,0,1
ahapless,0,1
ifyou,0,1
cableor,0,1
cassett,1,2
sensationalis,0,1
unacknowledg,0,1
serbo,1,0
croat,3,0
reactionari,3,1
nebul,1,1
clastrophob,1,0
okabasho,0,1
feudal,0,2
nymphomaniac,2,0
miya,15,0
freshmen,2,0
colbert,2,0
kristoff,1,0
myia,1,0
plow,1,0
weirdest,2,0
swat,2,2
handcuff,1,0
cellphon,1,1
unattend,1,0
holdup,1,0
boutiqu,1,0
myri,1,0
colbet,1,0
elain,4,0
martyn,1,0
potenc,0,1
dtv,2,1
meaner,1,0
pompom,1,0
prudenc,1,0
congest,0,1
lisbon,0,1
gere,1,7
curmudgeon,0,1
capshaw,7,1
buttonhol,0,1
comper,1,0
wierd,1,0
mire,0,2
sndtrk,0,2
somethinbg,0,1
dallianc,0,3
celeb,1,1
iliopulo,0,1
fruition,1,1
discret,0,3
dialoug,0,3
czar,1,0
lockhart,1,0
tynisia,1,0
inx,0,2
mirkovich,0,1
rafael,1,7
moreira,4,1
mcgorman,0,1
krivtsov,0,1
mcneil,0,1
bohemian,1,2
rhapsodi,0,1
jd,0,2
hb,0,1
memo,0,1
treeless,1,1
ontario,2,0
tingl,0,2
unabridg,0,1
ipod,0,1
rendezv,0,1
rosali,5,0
whitfield,2,1
crescendo,1,0
farmhous,1,0
guffaw,1,1
aptitud,1,0
slain,1,0
roasli,1,0
cranki,1,2
keynot,0,1
ukwel,0,1
fantas,0,2
zhi,0,1
chun,0,1
fei,0,1
mu,0,1
chinawel,0,1
honey,7,4
womanin,0,1
ferryman,0,2
shroud,1,2
cadenc,0,2
oratorio,0,1
guild,0,3
comm,3,0
ci,5,1
onstag,1,0
acl,2,0
meta,1,0
reductivist,1,0
graciou,2,0
pent,1,1
grampa,1,0
dancin,1,1
saigon,1,0
schultz,1,0
lordi,6,0
bilko,6,0
clayton,1,0
grouch,2,0
akroyd,2,0
crabbi,1,0
hows,1,0
doubleday,1,0
ame,1,0
schnitz,1,0
dramatis,0,3
cohabit,0,1
wildfel,0,1
primev,0,1
corset,1,1
huntingdon,0,1
jacqui,1,0
maxin,1,0
geneva,1,1
pollack,5,2
terminolog,2,2
kaspar,1,0
rankin,1,2
agito,2,0
toola,3,0
shunack,1,0
wanderd,1,0
engilsh,1,0
minka,1,0
triffid,1,0
hipper,1,0
chihuahua,2,0
nk,1,0
dmz,1,1
guantanamo,2,0
pork,1,3
spartan,1,0
duhhh,1,0
guzzl,1,0
tillman,0,1
trainer,1,4
afrovideo,0,1
unaccpect,0,1
remu,0,1
briar,1,1
roadblock,0,3
unwillingli,0,1
condemnatori,0,1
entact,0,1
thermal,1,0
plowright,1,2
cahulawasse,0,1
carous,0,2
accost,0,1
appalachian,0,1
dickey,0,1
copeland,1,1
mississippi,0,2
mesopotamia,0,1
birmingham,0,1
alabama,2,2
bushwack,0,2
limbless,0,1
amput,1,1
indiscrimin,0,1
spideyman,0,1
cest,0,1
moi,1,2
mk,0,1
hautefeuil,0,1
florian,7,13
animaniac,0,2
harnel,0,1
tress,0,2
macneil,0,2
welker,1,1
patb,0,1
unwis,3,1
jerzi,1,0
stuhr,1,0
tinni,0,1
asthmat,0,1
inhal,1,1
bookish,0,3
inli,1,0
gotcha,1,0
aldrin,1,0
krissak,1,0
googi,1,0
confluenc,1,0
groupthink,1,0
pleasent,0,1
surprisedwith,0,1
orr,0,1
guynam,0,1
beenincred,0,1
homerun,0,1
gamewhen,0,1
bartendermik,0,1
lifeisn,0,1
givenit,0,1
andpul,0,1
enoughfunni,0,1
reallygood,0,1
jonlovitz,0,1
intheir,0,1
sjust,0,1
ihighli,0,1
teapot,0,1
kappa,1,1
imp,1,1
brella,0,1
sheek,0,1
tokugawa,0,2
fatcheek,0,1
babylonian,0,1
apparit,1,2
scars,0,1
yoshiyuki,0,1
kuroda,0,1
daimajin,0,1
majin,0,1
gozu,0,1
izoo,0,1
abhishek,2,0
shitti,1,0
hrithek,1,0
madhuri,2,0
kajol,1,1
pffffft,1,0
clio,0,1
gouch,1,0
armateur,1,0
sanderson,1,0
wymer,0,5
wa,0,1
malibu,1,1
witchmak,0,1
bci,0,1
retail,0,2
jacknif,0,2
quietest,0,1
garb,1,0
mold,4,2
cach,1,2
hobb,1,0
semen,1,0
protaganist,0,1
exotic,0,1
houseboy,0,1
tite,0,1
cbtl,2,0
hough,2,0
incubu,5,0
repercuss,1,2
schlong,2,0
parr,1,0
homeset,1,0
fro,2,0
americana,0,3
submittedjay,0,1
fernack,0,1
fedex,2,0
audi,1,0
sorta,5,3
silverman,1,4
bernstein,2,1
somer,1,0
groundwork,2,0
alfonso,0,1
cuaron,0,1
gurinda,0,2
chadha,0,1
barbet,1,1
schroeder,1,1
ida,0,4
lupino,0,3
maltin,0,4
timmi,5,0
thornberri,2,0
nickolodean,1,0
squarep,1,0
charendoff,1,0
patronis,2,0
column,0,1
abhijeet,0,1
rohit,0,1
bikram,0,1
saluja,0,1
sandhya,0,1
mridul,0,1
gayatri,0,1
atul,0,2
kulkarni,0,5
ska,1,0
pestil,1,0
sakmann,1,0
mulva,1,0
chairman,2,0
wordi,0,7
fishbon,0,1
trout,0,1
elfried,1,0
jelinek,1,0
gobbl,4,0
orthograph,1,0
kohut,1,0
authoress,1,0
stoni,1,0
tawdri,2,0
pendulum,1,0
hither,1,0
thither,1,0
handbag,3,0
maman,2,0
profus,1,0
elrika,2,0
cherchez,1,0
hanki,1,1
panki,1,0
swain,5,3
rink,1,0
gravi,1,0
expati,1,0
throb,4,1
belatedli,1,2
hearth,1,0
middlesex,1,0
redol,1,0
emotion,1,1
overbak,1,0
cst,1,0
ziyi,1,0
wend,1,0
urinari,1,0
forfend,1,0
avidli,3,1
trod,1,0
thingi,1,0
silicon,3,2
metrosexu,1,0
jagoff,1,0
pinhead,1,0
mytho,3,0
gout,1,0
fetid,1,0
sternum,1,0
aromat,1,0
primo,1,0
untrain,2,0
swine,1,2
presag,1,0
wherewith,1,0
sisyphean,1,0
ona,2,0
grauer,1,0
slomo,1,0
poffysmoviemania,1,0
obstruct,0,2
defini,0,1
promo,1,1
mib,3,0
jrotc,1,0
flavourless,1,0
dreamwork,1,1
anthropomorphis,1,0
unhorselik,1,0
zebra,1,0
mustang,1,1
rebirth,0,2
filmfour,1,0
saddo,1,0
gcse,2,0
cajol,1,0
thicko,1,0
laff,1,0
saltcoat,1,0
forton,1,0
lancast,1,1
monsteroid,1,0
mond,1,0
uglier,1,0
decomposit,1,0
irit,1,0
garishli,1,0
turandot,1,0
athey,1,0
mulford,0,1
willaim,0,1
boyd,1,6
homespun,0,2
twain,0,1
horseback,1,3
encultur,0,1
overzeal,2,1
goodnik,0,2
sparki,0,1
watchman,0,1
feloni,0,1
moperi,0,1
macpherson,0,1
ripost,0,1
bipolar,0,1
stoney,1,0
dreier,1,0
pinsent,1,0
launchpad,1,0
prognost,0,1
atavachron,0,1
gallant,0,1
coo,0,1
warlik,0,1
methuselah,0,1
circus,0,1
jacob,1,3
epilept,0,1
emilia,0,3
scenc,0,1
existi,0,1
glamou,0,1
donlevi,1,1
dekker,3,0
retract,2,1
smog,1,0
chameleon,1,1
blowingli,0,1
olmo,0,2
condom,5,0
homoerotic,1,0
gaudi,4,1
lime,1,0
showbiz,2,2
rosetta,0,2
revu,0,2
brox,0,1
portli,1,0
corpul,1,0
blanka,1,0
regga,2,0
becuz,2,0
condsid,1,0
uecker,1,0
inning,1,0
shutout,1,0
ehh,1,0
vue,0,7
martinaud,0,2
serrault,0,3
gallien,0,3
lino,0,2
insector,0,1
chantal,0,2
passant,0,1
souci,0,1
interlocutor,0,1
devious,0,1
fargo,1,2
reciproc,0,1
succul,0,1
burwel,0,1
newfound,1,3
grander,0,1
pufnstuf,0,1
witchi,0,1
gadfli,0,1
unswerv,0,1
impur,0,1
hupfel,0,1
hydrogen,0,1
seaman,0,2
perfunctori,2,0
hawker,1,0
clunk,1,0
gloster,1,2
interim,1,0
variant,1,0
snowstorm,1,0
skywarrior,1,0
unload,2,0
wingtip,1,0
slo,1,0
thunderjet,1,0
ottawa,1,0
jowett,1,0
jupit,1,1
tr,1,0
loggia,1,1
mobi,3,0
heidi,0,1
barbapapa,0,1
etait,0,1
homm,0,1
mazing,0,2
federico,0,1
pitzali,0,1
phenom,0,1
riccardo,0,2
torrebruna,0,1
corrobor,0,1
gwot,1,0
lowliest,1,0
ordin,1,0
disneyland,1,0
gossemar,0,1
silken,0,1
dipstick,0,1
dipper,0,1
waddlesworth,0,1
macaw,1,1
pelt,0,1
koch,1,0
absolv,2,0
moretti,1,0
aegert,1,0
winig,1,0
bluntschi,1,0
preadolesc,1,1
rs,1,0
martinez,5,1
hogwash,1,0
imbecil,1,1
horrifyingli,0,2
imaginari,3,3
airman,0,2
strauss,0,3
rosenkavali,0,1
fineri,0,1
lighthearted,0,1
pimpernel,1,1
unenerget,0,1
indetermin,0,1
tzu,0,1
dismemb,3,2
nfl,0,1
carmella,0,1
pressenc,0,1
brang,0,1
mastantonio,0,1
narcot,1,0
salaam,1,0
castrol,1,0
landmin,1,0
tumbler,1,1
liceman,2,0
iggi,1,0
writh,2,0
taliban,1,0
marth,1,0
kller,1,0
hairpin,1,0
msft,1,0
midnit,1,0
neptun,1,0
puni,1,0
plastici,1,0
ratbatspidercrab,1,0
chimera,1,0
puppeti,1,0
residenthazard,1,0
iam,1,0
prashant,5,0
sushmita,3,0
modul,2,1
greystok,0,1
weismul,0,1
ransack,0,2
roster,0,2
interrel,0,2
mangler,1,0
hangman,1,0
solar,2,0
schappert,1,0
taayla,1,0
markel,1,0
chojnacki,1,0
tichon,1,0
scattergood,1,0
kevan,1,0
ohtsji,1,0
wateri,1,1
wold,1,0
strongpoint,1,0
dpp,1,0
dullest,1,0
kol,2,0
hagen,3,0
vaporis,2,0
dyana,1,0
ortelli,1,0
wildsmith,1,0
maradona,0,17
documetari,0,1
undersand,0,1
merylstreep,0,1
alittl,0,1
visiteur,1,0
lv,6,1
sportswrit,0,1
renard,0,2
bertil,0,2
beuneau,0,1
miscellan,0,1
postcard,0,1
onset,0,1
attest,1,2
toddler,3,1
bruneau,0,1
clarksberg,0,3
plymouth,0,1
cruiser,0,1
servicemen,0,3
rodder,0,2
gasket,0,1
hellfir,0,1
vanti,0,1
catwalk,0,1
slicker,1,1
oaki,0,3
abominib,1,0
saterday,1,0
solidli,0,6
hynd,0,1
daltrey,0,2
vedder,0,1
internecin,0,1
nabakov,0,1
levinson,0,2
malamud,0,1
impression,0,1
sew,0,1
thinnest,0,1
whick,0,1
starfleet,2,1
magnitud,2,4
undoubt,0,1
samwis,0,1
gange,0,1
upruptli,0,1
anyday,0,1
diehard,1,1
farling,0,1
duologu,0,1
ecko,0,1
sayid,0,1
unisol,6,0
codenam,1,0
jai,1,0
comin,1,0
forgetaboutit,1,0
outmod,1,0
lickin,1,0
kickin,1,0
jessi,0,10
haughti,0,2
manat,0,1
bitchi,3,5
unamus,1,0
cleavon,1,0
diablo,2,0
apostroph,0,1
lindi,0,4
pedal,2,0
termit,0,2
jacobi,0,2
whoope,1,0
fingernail,4,1
landua,1,0
ness,3,1
emptili,1,0
thoughtlessli,1,0
commod,1,1
classism,1,0
cetera,1,1
gorgeous,1,1
vibranc,1,0
ryszard,1,0
janikowski,1,0
inkl,2,1
sharkboy,1,0
lavagirl,1,0
linz,2,0
pox,1,0
preschool,1,0
bavarian,0,1
brettschnied,0,1
encyclopedia,0,1
tassi,0,9
weer,0,1
penis,1,1
notebook,0,2
resitu,0,1
uta,1,0
bullhorn,2,0
creak,2,0
ungain,1,0
stead,1,0
ac,1,0
quir,1,0
tem,1,0
purr,1,0
herli,1,0
breakabl,1,0
termag,1,0
herod,2,0
homestead,0,2
singapor,4,3
sri,0,1
lankan,0,1
sayin,0,1
rodeo,2,1
swindler,0,3
guiltili,0,1
lenni,0,2
steinbeck,0,1
grittili,0,1
unheat,0,1
bafflingli,0,1
bantam,2,0
zodiac,4,0
disassoci,1,1
dsm,2,0
burner,0,1
pyaar,0,1
karega,0,1
bharat,0,1
abba,0,1
mustan,0,1
kya,0,1
kehna,0,1
thatcherit,1,1
craftwork,0,1
menotti,0,3
nou,0,1
hungari,1,1
mundial,0,1
tournament,0,1
barca,0,1
napoli,0,2
neapolitan,0,1
tifosi,0,1
underachiev,0,1
nestl,1,2
camorra,0,1
bilardo,0,1
rematch,0,1
argi,0,1
linek,0,1
fenwick,0,5
valdano,0,1
infami,1,1
epitaph,0,1
shilton,0,3
hurriedli,1,1
goalkeep,0,1
handbal,0,1
syria,0,1
linesman,0,1
pope,5,2
burruchaga,0,1
beardsley,0,1
brainwav,0,1
argentinean,0,1
pele,0,2
unbind,0,1
homili,0,1
cosmopolitan,0,2
milan,0,2
fray,0,1
abut,0,1
unfortuntli,1,0
naiev,1,0
grung,1,0
foward,1,0
fricken,2,0
mfn,2,0
magoo,2,0
giveaway,0,1
rosann,0,1
barr,2,6
breckin,0,1
psychadel,0,1
gadda,0,1
aheadthi,1,0
aquarium,1,0
continuum,1,0
prisinor,1,0
electecut,1,0
laughedonli,0,1
betaken,0,1
meantto,0,1
atthem,0,1
sillyflaw,0,1
django,4,0
ummm,1,0
loaf,1,0
midlif,1,4
indecis,1,4
deidr,2,1
pli,0,1
extirp,0,1
incis,0,2
resoundingli,1,1
progeni,0,1
conduc,0,1
tenet,1,1
ergo,0,1
succinctli,1,1
quiz,0,2
donni,0,3
lundegaard,0,1
worsen,1,2
spetemb,1,0
balasko,0,1
dussoli,0,1
brasseur,0,1
capper,0,1
mosntr,0,1
weill,0,3
ratoff,0,1
aeronaut,0,1
tepo,0,1
jellyfish,2,1
posa,0,1
murpi,0,1
hiral,0,3
mahatma,0,1
gettysburg,2,0
sensori,1,1
gormless,2,0
cavalri,1,2
ungrammat,1,0
susbtitut,1,0
witchhunt,0,1
